ID;NOME;QUANTIDADE;VALOR;CATEGORIA
2;HALLS MELANCIA 28G;15;2.98;DOCES
3;HALLS MENTOL 28G;17;2.98;DOCES
8;TRIDENT MENTA 8G;12;3.99;DOCES
18;CHOCOLATE LOLLO 28G;14;4.48;DOCES
38;PIPOCA DOCE IEIE 40G;1;2.38;DOCES
41;CHA VERDE LARANJA E GENBIBRE AMOR E CHA 1L;3;5.98;BEBIDA NÃO ALCÓLICA
43;SUCO DAFRUTA NECTAR DE LARANJA 1L;4;6.98;BEBIDA NÃO ALCÓLICA
44;H2O LIMONETO 500ML;3;7.48;BEBIDA NÃO ALCÓLICA
48;ENERGETICO BALY FRUTAS TROPICAIS 473ML;9;10.98;BEBIDA NÃO ALCÓLICA
50;BARRA DE CEREAL BOLO DE CHOCOLATE NUTRY 22G;14;3.98;LINHA FIT
54;REFRIGERANTE LARANJA FANTA LATA 310ML;13;5.49;BEBIDA NÃO ALCÓLICA
55;REFRIGERANTE COCA COLA LATA 310ML;16;5.49;BEBIDA NÃO ALCÓLICA
57;BATATA CREME E CEBOLA PRINGLES 109G;4;15.98;SALGADOS E SNACKS
59;BATATA ORIGINAL PRINGLES 104G;3;15.98;SALGADOS E SNACKS
61;REFRIGERANTE SPRITE LATA 310ML;5;5.49;BEBIDA NÃO ALCÓLICA
68;GATORADE LARANJA 500ML;4;8.49;BEBIDA NÃO ALCÓLICA
69;GATORADE LIMÃO 500ML;5;8.49;BEBIDA NÃO ALCÓLICA
70;GATORADE UVA 500ML;5;8.49;BEBIDA NÃO ALCÓLICA
71;AGUA MINERAL NATURAL LA PRIORI 500 ML;1;3.49;BEBIDA NÃO ALCÓLICA
82;AMENDOIM JAPONES DORI 75GR;4;5.48;SALGADOS E SNACKS
90;BISCOITO BONO DOCE DE LEITE 90G;5;4.48;DOCES
109;EMPADAO DE FRANGO 220G;5;13.49;ARTESANAIS
131;TRIDENT MORANGO 8G;14;3.99;DOCES
132;PAÇOQUITA SANTA HELENA 20G;18;1.98;DOCES
152;APARELHO DE BARBEAR 3 LAMINAS FIAT LUX;5;7.98;HIGIENE E LIMPEZA
163;BATATA QUEIJO PRINGLES 109G;4;15.98;SALGADOS E SNACKS
190;REFRIGERANTE COCA COLA ZERO ACUCAR LATA 310 ML;7;5.48;BEBIDA NÃO ALCÓLICA
209;BARRA DE CEREAL AVELA COM CHOCOLATE NUTRY 22G;14;3.98;LINHA FIT
213;H2O LIMÃO 500ML;9;7.48;BEBIDA NÃO ALCÓLICA
228;BEBIDA LACTEA CHOCOLATE PIRACANJUBA 200ML;11;2.98;BEBIDA NÃO ALCÓLICA
231;CHOCOLATE SNICKERS PE DE MOLEQUE 42G;13;7.68;DOCES
252;TORRONE COM AMENDOIM 45G;7;4.49;DOCES
260;MACARRAO PARAFUSO ARAGUAIA 500G;6;4.98;MERCEARIA
261;MACARRAO ESPAGUETE SAFRA 500G;4;4.98;MERCEARIA
262;EXTRATO DE TOMATE BONARE 300G;6;8.98;MERCEARIA
264;ERVILHA EM CONSERVA PRAMESA 170G;8;5.98;MERCEARIA
265;MILHO EM CONSERVA PREDILECTA 170G;6;4.98;MERCEARIA
266;GUARDANAPO DE PAPEL NOTAVEL 50UN;5;2.98;DESCARTÁVEIS E UTILIDADES
267;PALITO DE DENTE GINA 100UN;4;1.98;DESCARTÁVEIS E UTILIDADES
268;ESPONJA MULTIUSO BETTANI 4UN;7;8.98;HIGIENE E LIMPEZA
269;ESPONJA LA DE ACO ASSOLAN 45G;6;2.88;HIGIENE E LIMPEZA
270;DETERGENTE LIQUIDO MINUANO LIMAO 500ML;2;3.69;HIGIENE E LIMPEZA
271;DETERGENTE LIQUIDO MINUANO COCO 500ML;2;3.69;HIGIENE E LIMPEZA
272;BARRA DE PROTEINA ABSOLUT AMENDOIM COM COCO 45G;7;10.98;LINHA FIT
273;ESCOVA DENTAL COLGATE;3;8.98;HIGIENE E LIMPEZA
274;ENERGETICO BALY ABACAXI COM HORTELA 473ML;10;10.98;BEBIDA NÃO ALCÓLICA
275;ACHOCOLATADO NESCAU 350G;4;15.48;MERCEARIA
